,points
"SHERMARKE, ABDIRASHID ALI",512
"Hershey, Alfred D",512
"BERRY, EDWIN C.",512
"OSTROVSKY, E",512
"Marx, Karl",512
"CLOUD, ROGER W",512
"GUGGENHEIMER, CHARLES S",512
"AMERSON, LUCIUS DAVENPORT",512
"BODNARAS, EMIL",512
"Milford, Nancy",512
TRAN QUANG THUAN,512
"ROMAGNA, JACK",512
"LEFCOURT, GERALD B.",512
"KASH, REIS R",512
"HINCKLE, WARREN J 3D",512
"TANENBAUM, MARC H.",512
"SUBRAMANIAM, CHIDAMBARA",512
R GRAHAM,512
"WEISS, WM.",512
"Thompson, Sada",512
"BANDARANAIKE, SIRIMAVA",512
"KAPITSA, PYOTR L.",512
"SINGER, I B",512
"RORIMER, JAMES JOSEPH",512
"SCHWARZ, MICHAEL A",512
"OCHS, ADOLPH SIMON",512
"RIGO, PAUL W.",512
"STOLPE, S",512
"GUINIER, EWART",512
"DOHRN, BERNARDINE",512
"AUSTIN, WARREN R",512
"PECK, DAVID W.",512
"TILLMAN, FRIEDRICH",512
"LUCHESE, THOMAS",512
"BARKLEY, ARTHUR G.",512
"REY, JUAN CARLOS",512
R BALDRICK,512
"MCCORMICK, EDWARD THEODORE",512
"Lederberg, Joshua",512
"STUDLEY, JULIEN J.",512
"SEIDMAN, J S.",512
"MCGHEE, GEORGE C.",512
"CASEY, GEORGE W",512
"REDMOND, HUGH FRANCIS",512
"ADAMO, SALVATORE J.",512
BERNARD BAILYN,512
"Gimbel, Adam",512
"NJOROGE, NAHASHON ISAAC NJENGA",512
"KELLY, THOMAS E",512
"STEVENSON, ROBERT",512
"Sherman, Allie",512
"KEMMERER, W WILLIAM",512
"EVERETT, RICHARD W.",512
"MEDVEDEV, ZHORES A.",512
"Gilot, Francoise",512
"SEVASTYANOV, VITALY I.",512
W D GARRETT,512
"BALDWIN, HANSON W.",512
"GEHLEN, REINHARD",512
"BUGAS, JOHN S.",512
"WAUGH, EVELYN A ST J",512
"GENDA, AMBROSE PATRICK",512
"CONROY, VINCENT F",512
"NEWHOUSE, SAMUEL I.",512
"STANGL, FRANZ PAUL",512
"BUFALINO, WILLIAM E.",512
"DESAI, MORARJI RANCHHODJI",512
"KERENSKY, ALEXANDER",512
"MOORHEAD, WILLIAM S",512
"Corson, Dale R",512
"VORSTER, JOHN",512
"Early, Eleanor",512
"GYANI, PRAM SINGH",512
"DAVIS, LEON J.",512
"PERCY, SHARON L.",512
"HEINTGES, JOHN A.",512
JEAN LACOUTURE,512
"BACON, ROBERT C",512
"Marciano, Rocky",512
IDRIS SENUSSI I,512
"Pearson, Drew",512
"STEVENS, SIAKA",512
"TRIPPE, JUAN TARRY",512
"FLETCHER, ARTHUR A",512
"RENAGHAN, THOMAS C.",512
"TORRES MATOS, FRANCISCO",512
"HOTCHNER, A E.",512
"FORESTER, CECIL S",512
"TEPEDINO, JOSEPH",512
"SPILHAUS, ATHELSTAN F.",512
"ROBERTS, DONALD V.",512
"Polanski, Roman",512
RAY LEWIS WHITE,512
"FONSECA, JAIME DA",512
"FAIRLESS, BENJ F",512
"Kling, Stephen",512
"MINNEY, R J",512
"PICCARD, JACQUES",512
"NOYD, DALE E.",512
"HUNDLEY, WILLIAM G.",512
"LINNER, STURE C.",512
"REISCHAUER, EDWIN OLDFATHER",512
"BURNS, HAYDEN",512
"MOTA, SILVIO BORGOS DE SOUZA",512
"RYAN, C",512
"ABDULGANI, RUSLAN",512
"NABOKOV, V",512
"MCCRACKEN, ROBERT",512
"COPPOLINO, CARL",512
"GILCHRIST, ANDREW",512
"LAMONT, THOMAS S",512
"MOORE, GEORGE STEVENS",512
"GIUMARRA, JOHN JR.",512
"COLE, EARL F",512
"GUTIERREZ, JOSE ANGEL",512
"SHINN, DAYE",512
"Jay, John",512
"HERMAN OF ALASKA, SAINT",512
"ENGELHARD, CHARLES W.",512
"PICKETT, JOHN F",512
"SAULNIER, RAYMOND J.",512
"KELLY, DANIEL M.",512
"HARWIN, MURRAY E",512
"EISENDRATH, MAURICE N.",512
"HUGHES, JAMES LINDBERG",512
CHIANG CHING-KUO,512
"WILMORE, GAYROD S JR",512
"CARTER, JAMES H",512
L GELBART,512
"HATCHER, ANDREW THOMAS",512
"HARTDEGEN, STEPHEN",512
"ALESSANDRI RODRIGUEZ, JORGE",512
"ALMEIJEIRAS, EFIGENIO",512
"SHERMAN, JONATHAN GOODHUE",512
"HEARST, WILLIAM RANDOLPH JR.",512
"SPENO, EDWARD J.",512
"ROSS, LEON I",512
"MENDEZ MONTENEGRO, JULIO CESAR",512
"Barnett, A Doak",512
"BITONDO, GEORGE F.",512
"REA, JAMES E",512
"DEFREGGER, MATTHIAS",512
"COCCHIARO, FRANK",512
"SAMMARTINO, PETER",512
"ALBANESE, VITO ANTHONY",512
"BERGEN, WILLIAM B.",512
"ROWE, DAVID NELSON",512
"Merrick, David",512
"CRAMER, WILLIAM C",512
"AMSBERG, CLAUS VON",512
"FITZSIMMONS, JAS E",512
"WALKER, CHARLS E.",512
"CHALFONT, LORD",512
"HALDEMAN, JACK C.",512
"KRAVCHENKO, VICTOR A",512
"RIFAI, SAMIR EL-",512
"James, William",512
"JACKSON, JESSE LOUIS",512
"PEGLER, WESTBROOK",512
"STOCKMEISTER, CHARLES F",512
"TANASSI, MARIO",512
"REA, JAMES",512
Rockefeller Family,512
T EYEN,512
"Pisar, Samuel",512
"HERSHKOVITZ, AVRAHAM",512
"NATHAN, ABRAHAM S",512
"BASSETT, CHARLES A 2D",512
"NASSER, SHERIF HUSSEIN IBN",512
"HELLYER, PAUL",512
"MCINTIRE, CARL",512
"PALMER, JOHN SHOVE",512
"NIMITZ, CHESTER WILLIAM",512
"MURPHY, ROBERT DANIEL",512
"FLUCK, HENRY K.",512
"BULLOCK, DAN",512
"HOPSON, JAMES A",512
"THALER, SEYMOUR R",512
"POSTEL, ROBERT I.",512
"WALZ, FREDERICK",512
"CHARLES XII, KING OF SWEDEN",512
"Graham, Martha",512
"DESALVIO, LOUIS",512
"HURWITCH, ROBERT",512
"ALFVEN, HANNES",512
"YAZID, M'HAMMED",512
"RIOS VALDIVIA, ALEJANDRO",512
"FRANKFURT, MILTON H.",512
"BUSH, PRESCOTT SHELDON",512
"MADRAZO, CARLOS",512
"HENRY, BRENT L.",512
"BRUGH, SPANGLER ARLINGTON",512
"AVIAL, ROQUE J",512
"TARUC, PEDRO",512
ROBERT LATHAM,512
"PEABODY, MALCOLM E.",512
"MCGEE, GALE",512
"MALENKOV, GEORGI M.",512
"WILHELMINA, DOWAGER PRINCESS OF NETHERLANDS",512
"Kaysen, Carl",512
"LEE, PHILIP RANDOLPH",512
"SCILEPPI, JOHN F.",512
"BEIGIN, MENACHEM",512
"DE HOFFMANN, FREDERIC",512
C MACARTHUR,512
"CHALK, O ROY",512
"Bellush, Bernard",512
"KROON, CIRO DE",512
"SOCARRAS RAMIREZ, ARMANDO",512
"Hughes, Langston",512
HADDON WILLIAM JR.,512
"GOLDMAN, M I",512
"MARKS, LEONARD H.",512
"FRAZIER, JOHN L.",512
A MACLEISH,512
"Yarmolinsky, Adam",512
"REYNOLDS, JOHN T.",512
"ROSENBERG, WM S",512
"McElroy, William D",512
"WOLNIAK, ZYGFRYD",512
"LESKINEN, VAINO",512
"CAVELLINI, WILLIAM",512
"Urquhart, Brian",512
"CORBIN, SOL NEIL",512
"GREENE, G",512
"Frey, Roger",512
"TAVARES ESPAILLAT, MANUEL ENRIQUE",512
"HENEGHAN, JOSEPH I.",512
"OSBORN, FAIRFIELD",512
"RICHARDSON, JOHN HAMMOND",512
"MCNEILL, W H",512
"Baron, Samuel",512
"SILBERG, MOSHE",512
"HOLMES, JNO H",512
"CZINGE, LAJOS",512
"JEAN, GRAND DUKE OF LUXEMBOURG",512
"BOWE, JOS L",512
"BEATON, ALEXANDER",512
"JOHNSON, ROBERT PIERRE",512
"SHELDON, LLOYD W.",512
"DOUGLAS, DONALD W SR.",512
"CAPOTE, T",512
"AKINTOLA, SAMUEL L.",512
"POMERANZ, ALAN JACK",512
"LEWIS, OREN R.",512
"HESTER, JAMES MCNOUGHTON",512
"WEISS, PAUL",512
"CLARK, KENNETH BANCROFT",512
"LENZNER, TERRY F.",512
"CUNNINGHAM, R JOHN",512
"MULLIGAN, HUGH",512
J LAWRENCE,512
"WILLIAMS, JOHN J",512
"WICHTERMANN, FREDERIC",512
"JANIS, SIDNEY",512
"Rostropovich, Mstislav",512
"Macklowe, Harry",512
"MOOREHEAD, ALAN",512
"YOUNGE, SAMUEL L JR",512
"HANKS, NANCY",512
"LORTIE, BERNARD",512
"SCHERRER, EDWARD C D",512
"PETRILLO, JAMES C.",512
"WOLFBEIN, SEYMOUR L.",512
"LATCH, EDWARD G",512
"CHICHESTER-CLARK, JAMES",512
"SLEET, MONETA J JR",512
"WIESNER, JEROME B",512
"CHRISTOPHER, SAINT",512
"KNIGHT, GOODWIN J.",512
"WINSTON, NORMAN KENNETH",512
"MAGRUDER, WILLIAM M.",512
"CHAPMAN, OSCAR L.",512
"SEVASTYANOV, G G",512
"Ashkenazy, Vladimir",512
R M LUDWIG,512
"LISKER, ROY",512
"CAHILL, JOSEPH T.",512
"HAACK, ROBERT W.",512
"Mitchell, David",512
"NADEAU, M",512
"JULIAN, HUBERT FAUNTLEROY",512
"SOUSTELLE, JACQUES",512
"TIXIER-VIGNANCOUR, JEAN-LOUIS",512
"KINTNER, ROBERT EDMONDS",512
"BAXTER, SAMUEL S.",512
"Verdon, Rene",512
"MILLER, HOBBY",512
"GROSS, MASON W",512
"GLEASON, JOHN V.",512
"NEUMANN, JOHN NEPOMUCENE",512
"PISANO, LITTLE AUGIE",512
"COOPER, GRANT B.",512
"OLYMPIO, SYLVANUS",512
"KUNSTLER, W M",512
"PETERSON, DONALD H.",512
"MEADLO, PAUL D.",512
"RODRIGUEZ ECHEVARRIA, PEDRO RAFAEL",512
"SMITH, GEORGE E.",512
"STONER, J B.",512
"McCrum, Michael",512
"HARRINGTON, DONALD S",512
"CHICHESTER, FRANCIS",512
"Nureyev, Rudolf",512
"STRICKMAN, ROBERT LOUIS",512
"MERCOURI, MELINA",512
"SPYCHALSKI, MARIAN",512
"LEMAITRE, HENRI",512
"FORD, HAZEL HOPKINS",512
"KISS, KAROLY",512
"KELDYSH, MSTISLAV V.",512
"BEIHL, EUGEN",512
"KENISTON, K",512
"DU MONT, ALLEN B",512
"MCGINNIS, PATRICK B.",512
"ECKERT, WILLIAM DOLE",512
"EGBERT, SHERWOOD H.",512
"RODRIGUEZ MENDEZ, ANDRES",512
"DAVIS, SHELBY CULLOM",512
R GRAINER,512
"MURPHY, JOSEPH HAWLEY",512
"LUTHULI, ALB J",512
"SHARP, ULYSSES S GRANT JR",512
"Bench, Johnny",512
"DIETER, NANNIELOU",512
"DORJI, JIGME P",512
"OREK, OSMAN",512
"WALLACE, HENRY AGARD",512
RALPH MANHEIM,512
"Bejart, Maurice",512
"Goodman, Julian",512
"GRABER, PHYLLIS",512
"BIRNEY, DAVID",512
"Moore, Richard",512
"PRATT, GEORGE W 3D",512
"RATHJENS, GEORGE W JR",512
"Stewart, Ellen",512
"KRUPP VON BOHLEN UND HALBACH, ALFRIED",512
"RANDALL, CLARENCE B",512
"COLLIER, ROBERT S.",512
"POWELL, PAUL",512
"CLORE, CHARLES",512
"FLYNN, JACK F A.",512
"YANG, CHEN NING",512
"Nkomo, Joshua",512
"TYSON, CYRIL D.",512
"SULLIVAN, DONALD J.",512
"SONTAG, S",512
R SHAW,512
"SULLIVAN, LEONOR K.",512
"SCHRAMME, JEAN",512
"HEIN, SIDNEY S.",512
"HILL, ROBERT CHARLES",512
"HAMADI, SAADUN",512
FISKE,512
"BARRON, WILLIAM WALLACE",512
"LEE, RICHARD C.",512
"ASPLAND, GEORGE J.",512
"MORRISON, NORMAN R",512
"MORAITES, PETER",512
"Marx, Groucho",512
"WOODWARD, ROBERT BURNS",512
"WOODLE, ROY",512
"TILLICH, PAUL",512
"Fisher, Andrew",512
"WEBSTER, RONALD",512
"STENT, THEODORE R",512
P STONE,512
"CHAPIN, ROY DIKEMAN JR.",512
"HOWARD, JIMMIE",512
SHEN PING,512
"Morgenthau, Hans J",512
"MCLEAN, JOHN G.",512
"FLY, CLAUDE L",512
"ROBINSON, ISAIAH E JR.",512
"CURTZE, CHARLES A.",512
"STEPHANOPOULOS, STEPHANOS CHRISTOS",512
"RORABACK, KENNETH M.",512
"JACOB, FRANCOIS",512
"MELLEN, JAMES G.",512
"DECAVALCANTE, SIMONE RIZZO",512
"ROSE, PAUL",512
"SMITH, GUY GIBSON",512
"LUCIANO, CHAS",512
D PETERSEN,512
"RIAD, ABDEL MONEIM",512
"KILLIAN, JAMES R JR",512
"DIOGUARDI, FRANK",512
"YOUSSOUPOFF, FELIX",512
"APPELL, DONALD THOMAS",512
"TROY, MATTHEW J JR.",512
"FLOWERS, RICHMOND M.",512
"EYICIOGLU, CELAL",512
PROFS H C SYRETT AND J E COOKE,512
"TRUJILLO, RAFAEL LEONIDAS JR.",512
"AKERS, ANTHONY B.",512
"EMMETT, SAMUEL",512
"CHU TEH, MARSHAL",512
J GORDON,512
"KUSCH, POLYKARP",512
"McLuhan, Marshall",512
"ZACHARIAS, JERROLD R.",512
"VALDONI, PIETRO",512
"RAAB, NORMAN",512
H ARLEN,512
"TKACHENKO, VLADIMIR I",512
"WOROSZYLSKI, WIKTOR",512
"KERVICK, JOHN A.",512
"HILL, JOHN G JR",512
"Brademas, John",512
"KENDALL, DAVID W.",512
"DIOGUARDIA, JOHN IGNAZIO",512
"NOVEMBER, ROBERT S.",512
"BYRNES, JOHN W.",512
"O'Connor, Edwin",512
"SHAW, CLAY L.",512
"Assad, Hafez al-",512
"HULSART, C RAYMOND",512
"MENON, VENGALIL KRISHNON KRISHNA",512
Vang Pao,512
"NICHOLS, BYRON J.",512
"WESSIN Y WESSIN, ELIAS",512
"CUMMINGS, EDW E",512
"SOBLEN, ROBT A",512
"ROUSSELOT, HAROLD A.",512
"WILLIAMS, WILLIAM A JR.",512
"SCRANTON, WILLIAM WARREN",512
"TSIRIMOKOS, ELIAS",512
"CHOPIN, ALEXANDER P.",512
Maharishi Mahesh Yogi,512
"HOBSON, JULIUS W.",512
"PERALTA AZURDIA, ENRIQUE",512
"URRUTIA LLEO, MANUEL",512
"HOBSON, JOHN",512
"HOUK, RALPH GEORGE",512
"LYNG, JOHN",512
"KUCHEL, THOMAS H.",512
"FIEDLER, L A",512
"CHEELEY, H H",512
"COOPER, RICHARD CONRAD",512
"DANIEL, AUBREY M 3D",512
"GRISHIN, VIKTOR V.",512
"FARRINGTON, PALMER D.",512
"SPIERS, ARNOLD D.",512
"DE ROULET, VINCENT",512
"BERLINGUER, ENRICO",512
"NORWOOD, WILLIAM R.",512
"PORTER, GEORGE",512
"ALLEN, J C MICHAEL",512
"ECKSTEIN, OTTO",512
A CARMINES,512
"BALDWIN, SIMEON",512
"STYRON, W",512
"Wald, George",512
"BURKE, MICHAEL A.",512
"VAUX, KENNETH L",512
"WYNNE, GREVILLE MAYNARD",512
"MCCULLOCH, WM M.",512
"DENZER, RICHARD G.",512
LIAO HO-SHU,512
"HYDE, ROSEL H",512
"FROST, ROBT",512
"HARKNESS, DOUGLAS S.",512
"CASSINI, IGOR",512
"ELLISON, NOEL A.",512
"POINDEXTER, DAVID R.",512
"SHATALOV, VLADIMIR A",512
"KITCHEL, DENISON",512
"Collins, Dorothy",512
"JOFFROY, PIERRE",512
"BONNER, CASIE",512
"PITZER, DANIEL L",512
"PELAEZ, EMMANUEL",512
DILHORNE OF TOWCESTER,512
"WAKELIN, JAMES H JR.",512
GAGARIN. YURI A.,512
"PALACH, JAN",512
"SIRACUSA, FRANK",512
"HARVEY, E MILES",512
"Spencer, David",512
"SALAL, ABDULLAH AL-",512
"HAMLET, JAMES F",512
CHRISTMAS,512
"HEENEY, A D P.",512
"Bergan, Francis",512
"KOTOUC, EUGENE M",512
"BRUCE, AILSA MELLON",512
"KREBS, SHARON",512
"HALE, DAVID OLIN",512
"DENNIS, C L.",512
J NEEDHAM,512
C LEDERER,512
"FLETCHER, JANIE F.",512
"SMITH, COURTNEY C",512
"Hirschmann, Ralph F",512
"DAVIS, MEYER",512
"RAYE, MARTHA",512
"JOHNSTON, LOGAN T.",512
"THORNBERRY, HOMER",512
"SZILI, WM A.",512
"PEREZ ZUKOVIC, EDMUNDO",512
"DOWDY, JAMES H.",512
"WHITEAKER, ROY D",512
"MCCLOSKEY, WILLIAM J",512
TRAN HOI NAM,512
"ALLA, HADJ BEN",512
"Jones, Jennifer",512
"Bickel, Alexander M",512
CARL BODE,512
"Gallo, Joseph",512
MOULAY ABDULLAH,512
"CURTIN, JOHN T",512
"BOURGINE, KHIAN",512
"Wright, Michael",512
"HAILEMARIAM, TASHOMA",512
"CARR, FRED",512
"KELLEY, FLORENCE M.",512
"MOSSBAUER, RUDOLF L",512
"DECKER, BERNARD M.",512
"Kubelik, Rafael",512
"ASTOR OF HEVER, JOHN JACOB",512
"TUVIM, JUDITH",512
L COLLINS,512
"PARSONS, DONALD H.",512
FRANCES FOX PIVEN,512
"GREW, JOSEPH CLARK",512
"DRESHNER, HENRY",512
"ANNENBERG, MOSES L.",512
"LOVELL, JAMES A.",512
"EDWARD, PRINCE OF GREAT BRITAIN",512
"KENNY, DUMONT F.",512
"SOLIS, FERNANDEZ GALILEO",512
"QUINTANA, BERNARDO",512
"HANGA, ABDULLAH KASSIM",512
"SIEBERT, MURIEL F.",512
"CURRAN, CLAIRE",512
"ALLEN, JOSEPH P",512
"Myerson, Bess",512
"Harrison, George",512
"BURNS, JOHN A.",512
"FRELINGHUYSEN, PETER H B JR.",512
IBSEN,512
"ORTIZ-MARTIN, GONZALO",512
"WOODCOCK, JOSEPH C JR",512
"Friedland, David J",512
"Cooper, Henry",512
"BLOOM, JEREMIAH B.",512
"HUSSEIN, OSMAN",512
"HOFMANN, PHILIP B.",512
"GORDON, DAVID COLE",512
"Stapleton, Maureen",512
"CORBETT, RAYMOND R.",512
"WIESNER, J B",512
"MARTIN, JOHN BARTLOW",512
"LIVINGSTON, JOSEPH A.",512
"ROWE, GARY THOMAS JR.",512
"ALL, HAROLD R.",512
"WEINSTEIN, MOSES M.",512
"WATSON, ARTHUR K.",512
BROOKS ATKINSON,512
"BARNARD, CHRISTIAAN N",512
"BURKHARDT, ROBERT J.",512
DAVID W LEVY,512
R RUSSELL,512
"KATZANDER, HOWARD",512
"GITTELSON, BERNARD",512
"COWIN, WM T.",512
"CREZ, JEAN",512
"HINTON, LONGSTREET",512
"DILORENZO, ALEX JR.",512
"MURROW, EDW R",512
"MCDONALD, DAVID JOHN",512
"KRIEGEL, GLENN F.",512
"Schuman, William",512
"TENNEY, JERRY M.",512
"RULE, ELTON H.",512
"ALEXANDER, RICHARD G",512
"Schwartz, Robert",512
"ROTHENGAST, CONRAD H",512
"TORRES GONZALES, JUAN JOSE",512
"GIOCONDO, MICHAEL J.",512
"Gutierrez, Mario",512
"ABRAMS, ROBERT",512
"Marcos, Ferdinand E",512
"RICKETTS, CLAUDE V.",512
"YACOVELLI, JOSEPH",512
"BURKE, EDWARD",512
"CATENA, GERARDO",512
"RATTENBACH, BENJAMIN",512
"Patterson, John",512
"DRUMMOND, N C",512
"ROLZ-BENNETT, JOSE",512
"MOORE, WILLIAM H.",512
"SPATAFORA, GUS",512
"FEDORENKO, NIKOLAI T",512
"O'BRIEN, EDWARD A",512
"METZGER, MICHAEL",512
"LOWELL, RALPH",512
"BENITEZ, JAIME",512
"WHITE, THOMAS DRESSER",512
"PERON, EVA",512
"GENEEN, HAROLD S.",512
"Berks, Robert",512
"KAPLAN, JOEL DAVID",512
"AMRI, HASSAN AL­",512
"BEERBOHM, M",512
"Booth, John Wilkes",512
"RUSSELL, FRANCIS",512
"CREWS, ALBERT H JR.",512
"WALSH, LAWRENCE EDWARD",512
"VILAR, JEAN",512
"ARGOUD, ANTOINE",512
"SMITH, MARSHALL LEE",512
"Dryfoos, Orvil E",512
"WYATT, WILSON WATKINS",512
"JOHN XXIII, POPE",512
"HAWKINS, EDLER GARNETT",512
"Vesalius, Andreas",512
"MORRISON, DELESSEPS S",512
"PUCINSKI, ROMAN C",512
"Watson, James D",512
M LEIGH,512
"FILLION, E P JR.",512
"CHEATHAM, OWEN ROBERTSON",512
"MURTON, THOMAS O.",512
"PANAGHOULIS, ALEXANDROS",512
"Black, Hugo L",512
"Skelton, John",512
"GUERRERO, AMALIA",512
"SENANAYAKE, DUDLEY S.",512
"SUNDER, J E",512
R H CONNERY,512
"HAKIMI, ABDEL MOEEN",512
"JACKSON, JIMMY LEE",512
"MILLER, PAUL L.",512
"SCHNEIDER, JOHN A.",512
"SNOW OF LEICESTER, LORD",512
"ESCALANTE, ANIBAL",512
"HANNOTIN, MARC",512
"Stroessner, Alfredo",512
"BELIEU, KENNETH E",512
"GARCIA, MANUEL ALEJANDRO",512
A SCHWARTZ,512
"BERENSON, BERNARD",512
"EASTLAND, JAMES O.",512
"TRUSSELL, RAY E.",512
"JOHNSON, R L, AND J A MINTKENBAUGH",512
"Edward VII, King of England",512
"MILLIKEN, WILLIAM G",512
"CLARK, JAMES GARDNER JR.",512
"COLES, NATHANIEL A",512
"POUABOU, JOSEPH",512
"ARM, WALTER",512
"GREEN, WM JOSEPH JR",512
"TERRY, MEGAN",512
E WASIOLEK,512
"GAMMINO, MICHAEL A",512
"HICKLIN, WAYNE",512
"BIRNBAUM, EUGENE A.",512
"Davis, Glenn R",512
"URGUPLU, SUAT HAYRI",512
"KRAUS, ALBERT L.",512
"BENACER, SALAH",512
"RONEY, PAUL H",512
"JORDAN, PAUL T",512
"HUGHES, CHARLES F",512
"BAROODY, JAMIL M",512
"Durk, David",512
"WEBBER, ANDREW LLOYD",512
"SLOTE, LESLIE",512
"Riklis, Meshulam",512
"GROSSVOGEL, D I",512
"MILLS, ALFRED S.",512
"ORLINSKY, HARRY M.",512
"PATTERSON, CHARLES L",512
U GIORDANO,512
"Giaimo, Robert N",512
"BEEBE, LEO C.",512
"FARNUM, C WODSWORTH",512
"Neruda, Pablo",512
"MULLALLY, JOSEPH P.",512
"Herzberg, Gerhard",512
"JHA, LAKSHMI KANT",512
"SIVE, DAVID L.",512
"DREXLER, ROSALYN",512
"GILLER, EDWARD B",512
"SHUBERT, JACOB J",512
"SONNABEND, A M.",512
"DELL'ACQUA, ANGELA",512
"WEIGEL, GUSTAVE A.",512
"TRUMP, FRED C.",512
C P SNOW,512
"ONSAGER, LARS",512
L CREATORE,512
"STUHLDREHER, HARRY A",512
"ELLIS, CLYDE T.",512
"Bowen, William G",512
"SPINGARN, ARTHUR B",512
"DAVITT, JAMES J.",512
"JOHNSON, ROBERT WOOD",512
"RAZA, NAWABZADA AGHA MOHAMMAD",512
"CHUIKOV, VASILI IVANOVICH",512
"RICAU, JACKSON G.",512
"NOYD, DALE E",512
KURT H WOLFF,512
"DOHERTY, MARTHA",512
NAHUM N GLATZER,512
CHIAO KUAN‐HUA,512
"RICHARDSON, GEORGE C",512
"WIDERMANN, PERSIS S",512
"KOCHETOV, VSEVOLOD A.",512
"YDIGORAS FUENTES, MIGUEL",512
"Jackson, Jesse L",512
"FECTEAU, RICHARD G.",512
"BARNHILL, JOHN",512
"AURORA, JAGJIT SINGH",512
"LINOWITZ, SOL M.",512
"CUEVAS, MARGARET DE",512
"SCHWEITZER, ALB",512
"Keyserling, Leon H",512
IAN ANGUS,512
"Jackson, Andrew",512
"MAGUIRE, JOHN JOSEPH",512
"MCGENTY, JOHN J",512
"JANKO, VLADIMIR",512
"KUDRNA, JOSEF",512
T Q CURTISS,512
"LANGSETH, MARCUS E",512
"Porter, Cole",512
"BEVAN, DAVID C.",512
"MIRONOV, ALEKSANDR",512
"FACIO, GONZALO J.",512
"MARTINEZ SANCHEZ, AUGUSTO",512
"BASTIEN-THIRY, JEAN-MARIE",512
"DANTAS, FRANCISCO CLEMENTE SAN TIAGO",512
"TIPPITT, J D",512
"SETON, ELIZABETH ANNE",512
"RINFRET, PIERRE A",512
"LOMSKY, BOHUMIR",512
"HALL, FLOYD D.",512
"MOREEL, BEN",512
"O'NEILL, TERENCE MARNE",512
"DESAI, M J.",512
"SOLOMON, RICHARD H",512
"CONWAY, JACK T.",512
"LEVI, CARLO",512
"TUCKER, JOSEPH W.",512
"West, Rebecca",512
"HALDANE, JNO B S",512
"PHAM VAN DONG, PREMIER",512
"HUGHES, EMMET JOHN",512
"Nirenberg, Marshall W",512
"WATTS, HENRY M JR.",512
"SINATRA, FRANK SR.",512
"GUTERMA, ALEXANDER LEONARD",512
"BOW, FRANK T.",512
"BENTON, WM.",512
"RICHARD, DUKE OF YORK",512
"MACDONALD, JEANETTE A",512
"CHRYSLER, WALTER P JR.",512
"MACDONALD, DAVE",512
"HUMPHREY, GEORGE MAGOFFIN",512
"KUBITSCHEK DE OLIVEIRA, JUSCELINO",512
R TAYLOR,512
"LOPEZ GUEVARA, CARIES ALFREDO",512
"de Angelis, Anthony",512
"ADJEI, AKO",512
"KARCH, GEORGE F.",512
"STOLTZ, LAWRENCE GENE",512
"OZZARD, WM E.",512
"Warnecke, John Carl",512
"NEKLAWY, ABDEL MONEIM EL-",512
"HOWARD, ROY WILSON",512
"CARLSON, PAUL EARLE",512
"JACOBSSON, PER",512
"GASSNER, JOHN",512
"Coles, Robert",512
"VELASCO IBARRA, JOSE MARIA",512
"Goffman, Erving",512
"BATOV, PAVEL I.",512
"LEMAY, CURTIS EMERSON",512
"CHOTINER, MURRAY",512
"ROA GARCIA, RAUL",512
"DALADIER, EDOUARD",512
"VICENZO, ROBERTO DE",512
"BOUNDS, V LELAND",512
"PETERSON, MARTHA E",512
"DRURY, CHARLES M",512
"KOENIG, FRANZ",512
"CASTLE, BARBARA",512
R S STEWART,512
"BENTON, WM BURNETT",512
"SALLUSTRO, OBERDAN",512
"MATTINGLY, THOMAS K 2D",512
"WANKEL, FELIX",512
"GOULDEN, JOSEPH C",512
W W PROCHNAU,512
R RODGERS,512
"Williams, Cecil",512
"REILLY, PAUL H",512
"LEE, JOHN FRANKLIN",512
"Holroyd, Michael",512
"THOMAS, ROBERT MCG JR.",512
"CHARLOTTE, GRAND DUCHESS OF LUXEMBOURG",512
"Fruman, Norman",512
"Grossman, Vasily",512
"MASTERMAN, J C",512
"ELIZABETH I, QUEEN OF ENGLAND",512
"HODGKIN, DOROTHY CROWFOOT",512
"Lavelle, John D",512
"Craft, Robert",512
M SANDRICH JR,512
"WILLINGHAM, BEN H.",512
J ROBBINS,512
"HICKENLOOPER, BOURKE B",512
NGUYEN NGOC KY,512
"REUTHER, WALTER P.",512
"INGRAHAM, FRANK R.",512
"WALLACE, LURLEEN BURNS",512
"ZARUGA, JAN",512
"DAVISON, FREDERIC ELLIS",512
"MCCARTHY, JAMES E.",512
"GOHEEN, ROBERT FRANCIS",512
"MILLER, A EDWARD",512
"SEAMANS, ROBERT C.",512
"SOLIS RUIZ, JOSE",512
"Tanaka, Kakuei",512
"POMERANCE, ROCKY",512
"TALLMAN, RICHARD J",512
"YEGOROV, BORIS B.",512
"ROBERTO, HOLDEN",512
"HITCH, CHARLES J",512
"PELNAR, JAN",512
"ROBB, GENE",512
"MAY, CHARLES D.",512
"HUXLEY, ALDOUS LEONARD",512
"ARNHEITER, MARCUS AURELIUS",512
"KONEV, IVAN S",512
"RIOS, CARLOS M",512
"Krulak, Victor H",512
"BLAKENHAM, VISCOUNT",512
"LYNEN, FEODOR",512
"CULKIN, GERALD P.",512
ANCIENT GREECE,512
"WILLIS, EDWIN EDWARD",512
"SOUPHANOUVONG, DEPUTY PREMIER",512
"RHODES, JAMES A.",512
"COLEMAN, HENRY S",512
