,points
"Scott, Hugh",5076
"YOST, CHARLES WOODRUFF",5070
"BRUCE, DAVID K E.",5068
"Powell, Adam Clayton Jr",5058
"STANS, MAURICE HUBERT",4982
"Goodell, Charles E",4980
"TSARAPKIN, SEMYON K.",4612
"STAFFORD, THOMAS P",4611
"CARPENTER, MALCOLM SCOTT",4609
MUJIBUR RAHMAN,4607
"Duvalier, Francois",4606
"SIRHAN, SIRHAN BISHARA",4605
"WALKER, EDWIN A.",4605
"ANDERS, WILLIAM A",4604
DUONG VAN MINH,4603
"HAMMARSKJOLD, DAG HJALMAR AGNE CARL",4602
"RIAD, MAHMOUD",4602
"MARGARET ROSE, PRINCESS OF GREAT BRITAIN",4599
"UDALL, STEWART L",4599
"CERNAN, EUGENE A",4599
"ADOULA, CYRILLE",4598
"GOLDBERG, ARTHUR J",4597
"CONSTANTINE, KING OF GREECE",4597
Malcolm X,4596
"NIKOLAYEV, ANDRIAN G",4595
"VANCE, CYRUS ROBERTS",4595
"STAFFORD, THOMAS P.",4594
"HOOVER, HERBERT CLARK SR",4593
"DULLES, ALLEN WELSH",4593
"Price, Robert",4592
"NICKERSON, EUGENE HOFFMAN",4591
"BARNETT, ROSS ROBERT",4590
"Clark, Ramsey",4588
"KENNEDY, JOHN FITZGERALD JR.",4588
"SCHEEL, WALTER",4588
"GUEVARA, ERNESTO CHE",4587
"GARDNER, JOHN WILLIAM",4584
"SPAAK, PAUL-HENRI",4584
"NUGENT, PATRICK LYNDON",4584
"MILLER, WM EDWARD",4582
"Daley, Richard J",4581
"ADZHUBEI, ALEKSEI I.",4580
"ABERNATHY, RALPH D.",4580
"BREWSTER, KINGMAN JR.",4580
"HOLYOAKE, KEITH J.",4579
"DUBINSKY, DAVID",4577
"ZARETZKI, JOSEPH",4576
"ROOSA, STUART A",4575
"Kadar, Janos",4575
"ABERNATHY, RALPH DAVID",4571
"MARCOS, FERDINAND EDRALIN",4568
"Beame, Abraham D",4565
"MURPHY, GEORGE",4561
"EISENHOWER, MILTON STOVER",4559
"AURELIO, RICHARD R",4547
"RUMSFELD, DONALD",4532
"Mollen, Milton",4516
"BUCKLEY, JAMES L.",4457
"CLAY, CASSIUS MARCELLUS",4095
"BERGTRAUM, MURRY",4091
"Debre, Michel",4091
"Spock, Benjamin",4091
"Balaguer, Joaquin",4091
NGO DINH DIEM,4090
"CLAY, LUCIUS DU BIGNON",4087
"DORTICOS TORRADO, OSVALDO",4087
"Moro, Aldo",4085
"MCKISSICK, FLOYD BIXLER",4085
"PHILIP, PRINCE OF THE UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND, DUKE OF EDINBURGH",4084
"Malraux, Andre",4083
Suharto,4083
"CORALLO, ANTONIO",4082
"ONASSIS, ARISTOTLE SOCRATES",4082
"SMRKOVSKY, JOSEF",4082
"MOSCOSO, TEODORO",4081
"VANCE, CYRUS R.",4081
PHAM VAN DONG,4080
"WHITE, BYRON RAYMOND",4080
"MAUDLING, REGINALD",4079
LIN PIAO,4079
"ONASSIS, ARISTOTLE S.",4077
"MILLS, WILBUR D.",4076
"Smith, Margaret Chase",4076
"HODGES, LUTHER HARTWELL",4076
"DRYFOOS, ORVIL EUGENE",4075
TRAN VAN HUONG,4074
"Ayub Khan, Mohammed",4073
"HAYNSWORTH, CLEMENT F JR",4072
"SALTONSTALL, LEVERETT",4070
"KOHLER, FOY D.",4069
"BALL, GEORGE WILDMAN",4069
NGUYEN THI BINH,4067
"GILHOOLEY, JOHN J.",4066
"Nader, Ralph",4065
"ACHESON, DEAN GOODERHAM",4064
"Moorer, Thomas H",4063
"SHULTZ, GEORGE PRATT",4062
"Sandburg, Carl",4060
"Stewart, Potter",4059
"BAKER, ROBERT G.",4059
"Garelik, Sanford D",4049
"McCracken, Paul W",4041
"Jackson, Henry M",4029
"HAMILTON, EDWARD K",4028
"BLOUNT, WINTON MALCOLM",4010
"Ottinger, Richard L",3980
"SWIGERT, JOHN L JR.",3590
"SCHWEICKART, RUSSELL L.",3589
