,points
MISC ITEMS - POPE PLEADS FOR PEACE - OTHER PEACE EFFORTS,8058
SENATE,8056
REVIEWS GRANTED,8050
1ST N 16 PAR,8032
POSITION PAPERS,8008
OLDER WORKERS,7996
"ACTIVITIES OF PRES JOHNSON, DEM PRES NOMINEE",7982
STATE SENATE,7496
"SWEETENERS, ARTIFICIAL",7180
Volcanoes,7174
Funerals,7170
Cereals,7170
Evolution,7170
Surgery and Surgeons,7168
"RIOTS IN ROCHESTER, NY - RACIAL PROBLEMS IN OTHER UPSTATE CITIES",7158
Viruses,7158
Philanthropy,7158
FRAUDS,7158
INDEPENDENCE DAY (JULY 4),7156
Engineering and Engineers,7150
1ST MR 1 PAR,7150
RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES THERE,7150
Bankruptcies,7150
Company Reports,7150
Rats,7148
CALIFORNIA STATE COLLEGES,7148
RECREATION,7142
Vitamins,7142
"PAINTS, ENAMELS, VARNISHES, LACQUERS AND PROTECTIVE FINISHES",7142
MILITARY ACTION IN S VIETNAM - ACTION NEAR AND IN DEMILITARIZED ZONE,7142
SECURITIES ACT AND OTHER LAW VIOLATIONS,7140
NEW CIVIL RIGHTS LEGIS - PROPOSED CIVIL RIGHTS ACT OF '66 - SEN DEFEATS BID TO END FILIBUSTER - PASSAGE OF BILL IN DOUBT,7140
US PRICES,7138
"MUNIC, STATE AND AUTHORITY BONDS",7138
SATURDAY EVENING POST (PUB),7136
MISCELLANEOUS MATERIAL ON US TROOPS,7136
1ST APRIL 1 PAR,7134
"LOS ANGELES, CALIF, RACE RIOTS - NATIONAL GUARD TROOPS CALLED OUT - CURFEW PROCLAIMED",7134
MILITARY ACTION IN DEMILITARIZED ZONE AND PROTESTS TO INTERNATL CONTROL COMMISSION,7134
SHOWS (INTERNATIONAL),7132
STEAM,7130
COMMUNITY ANTENNA TELEVISION (CATV),7130
Pipelines,7128
"PRIVACY, INVASION OF",7126
NEW JERSEY SUBURBAN COMMUNITIES,7126
COURTHOUSES,7126
FUEL,7124
CONCORDE PROGRAM,7124
BIG POWERS' POLICIES,7124
JANUARY 16-31,7122
COUNTY PROSECUTORS,7120
NEW YORK WORLD-TELEGRAM AND SUN,7118
1ST NOV 16 PAR,7116
KENNEDY-MACMILLAN CONFS,7114
COMMUNIST CHINESE-US RELATIONS - ASIAN STUDIES ASSN MEMBERS URGE NORMALIZING TIES - FULBRIGHT COM HEARINGS END,7112
WORLD WAR II (1939‐45),7112
US AND ALLIED MILITARY BUILD-UP,7110
"ORGANIZATION (ADMINISTRATION, FACILITIES, FINANCES, PERSONNEL)",7108
SMALL POWERS ALIGNMENT,7108
Museums,7108
CURBS ON AMERICANS,7106
1969 SESSION,7106
1ST MAY 16 PAR,7106
"MUNICIPAL, STATE AND AUTHORITY BONDS",7104
FOOD CONTAMINATION (CHEMICAL),7104
Tuberculosis,7102
INSTITUTIONS,7102
APOLLO PROTECT,7100
SUP,7098
"US MILITARY BUILD-UP, WAR COSTS AND MILITARY SHORTAGES",7098
SMUGGLING OF CIGARETTES TO AVOID TAXES,7096
Vending Machines,7096
SURVEYOR 3,7094
ECONOMY (GENERAL),7092
EAST--WEST RELATIONS (GEN),7092
VISTA PROGRAM,7090
Encyclicals,7090
JOHNSON ADM - TRANSITION FROM KENNEDY ADM,7088
ORGANIZATIONS AND SOCIETIES,7088
SOYUZ 1,7086
MASTER PLAN,7086
MEDAL OF HONOR,7086
KOSYGIN VISIT TO GREAT BRITAIN,7082
ARTILLERY SHELLING OF NORTH VIETNAM,7080
LOCAL,7080
REGIONAL PACTS,7078
CHINESE,7078
CAMPAIGN OUTLOOK - GEN COMMENT - 'WHITE BACKLASH' ISSUE - POLLS SHOW WIDE JOHNSON LEAD,7076
MOTION PICTURE,7076
WARREN COMM REPT,7074
FOOD AND BEVERAGES,7072
ROLL-CALLS,7072
CURBS ON AMERS,7070
NOMINATING PROCEDURES,7070
HOSP BLDG AND EQUIPMENT,7068
ADDRESSES AND STATEMENTS,7066
SEPARATION-OF-POWERS DOCTRINE,7066
REGIS,7066
CLASS SIZE,7062
MY 1 PAR,7062
HEALTH,7060
EDUC,7060
GOA AND OTHER FORMER PORTUGUESE ENCLAVES,7060
1ST S 2 PAR,7058
Columbus Day,7054
EFFORTS TO BLOCKADE TRADE WITH N VIETNAM,7054
SUCCESSION ISSUE AND 'INABILITY' ISSUE,7048
"CENSUS, '70",7048
2D O 1 PAR,7036
COMMITTEES AND BOARDS,7034
APPORTIONMENT,7028
4TH N 1 PAR,7018
Crop Controls and Subsidies,7014
AUTOMOBILE REGISTRATION AND LICENSES,7014
Referendums,6994
5TH N 1 PAR,6990
INTERNATIONAL AGENCIES AND ORGANIZATIONS,6988
CIVIL DISOBEDIENCE AND DISORDER ‐RIGHT OF DISSENT ‐PATRIOTISM ISSUE,6972
"PRESS, RELATIONS WITH",6972
9TH N 1 PAR,6942
CONSERVATISM ISSUE - COMMUNISM ISSUE - EXTREMISM ISSUE,6938
ELECTORS,6936
IMMUNIZATION AND IMMUNITY,6148
Society,6146
Paleontology,6144
Civil War (US) (1861-65),6140
MOVING INDUSTRY,6138
ACUPUNCTURE,6138
INFANTILE PARALYSIS (POLIOMYELITIS),6136
SLEEPING DRUGS,6134
WIRETAPPING AND OTHER EAVESDROPPING METHODS,6134
BRITISH PROJECTS (GENERAL),6126
ARMED FORCES DAY AND WEEK,6126
NATIONAL GUARD,6126
Economics,6124
MACHINE TOOLS AND DIES,6124
SPECIAL SECS,6122
PAN-AMERICAN GAMES,6120
STARS,6120
STAMPS COVERS AND CACHETS (POSTAL),6120
BIRTH DEFECTS (CONGENITAL DEFECTS),6120
GATT,6118
Feet,6116
F 18 PAR,6116
A N SHELEPIN MISSION TO N VIETNAM,6116
Corn,6116
AIRPORT BUS AND LIMOUSINE SERVICES,6114
TRANS‐ATLANTIC,6114
Customs (Tariff),6112
BROKERS COMMISSIONS AND FEES,6112
SUICIDES AND SUICIDE ATTEMPTS (INDICATES ATTEMPT),6110
DENTAL INSURANCE,6108
OBSERVERS OF NON-MEMBER NATIONS AND NON-GOVERNMENTAL ORGANIZATIONS,6108
FIRE HYDRANTS,6108
NEWSPRINT,6106
BORDER AREAS,6106
BRITISH COAST (TORREY CANYON) INCIDENT - EFFECTS ON OTHER AREAS,6106
Cattle,6106
CHINESE-US,6104
US COLL AND GRAD EDUC,6102
Mitchell-Lama Projects,6100
Presidential Election of 1960,6100
BIRTH CONTROL,6100
"CIVIL RIGHTS LEGIS (FEDERAL) - CIVIL RIGHTS, RACIAL RIOTING AND 'WHITE BACKLASH' AS ELECTION ISSUES",6100
US HR UN-AMER ACTIVITIES COM HEARINGS ON REPR POOL BILL TO BAR AID TO ENEMIES OF US,6100
Elevators and Escalators,6098
'62 SESSION,6098
RACKETEERING,6098
ONE-WAY STS,6096
REORGN,6096
FOBS (FRACTIONAL ORBITAL BOMBARDMENT SYSTEM),6094
PRESIDENTIAL ELECTIONS OF 1972,6094
REGIS UNDER INTERNAL SECURITY ACT OF '50,6094
US MILITARY BUILD-UP - CHARGES OF BOMB AND MATERIEL SHORTAGES - SEC MCNAMARA DENIAL,6094
REVIEWS AND OTHER DATA AN SPECIFIC PLAYS,6094
NEWS,6094
Oils and Fats,6092
PRESIDENTIAL ELECTION OF 1964,6090
Medal of Honor (US),6090
"CONCERN, IN WAKE OF KENNEDY ASSASSINATION, OVER EXTREMISM AND ATMOSPHERE THAT BREEDS HATRED AND VIOLENCE - CONSERVATISM RISE - COMMUNISM ISSUE",6086
'61 SESSION,6084
FEDERAL RESERVE SYSTEM,6084
HOURS,6084
CAMBODIAN BORDER,6082
MERGERS AND ACQUISITIONS,6082
D 4 PAR,6080
UNITED STATES FORCES,6080
US POLICY - PRES JOHNSON URGES AMERICANS UNITE BEHIND HIM - SCORES CRITICS - SEC RUSK REITERATES US DESIRE FOR PEACE TALKS - STRESSES US COMMITMENT IN WAR - SEC GEN THANT RENEWS PEACE PLEAS,6078
Cooperatives,6078
USSR SATELLITES (UNMANNED),6078
URBAN PLANNING AND RENEWAL,6076
HEMISPHERE SUMMIT CONFERENCE,6076
CHURCHES EXEMPTION,6074
MASS COMMUNICATIONS,6074
"SEWERS, STORM",6074
D 25 PAR,6072
BONDS AND NOTES (GEN),6072
Federal District Courts,6068
PEACE CORPS,6062
CONSERVATISM RISE - COMMUNIST ISSUE - ISSUE OF MIL ROLE IN POL,6060
CRIME AND CRIMINAL S,6060
Intelligence Services,6056
PARIS PEACE TALKS,6056
CENSUS BUREAU REPORTS,6054
SPECIFIC STATIONS,6050
ARMY-NAVY GAME,6050
CAUSE AND PREVENTION,6050
1968 SESSION,6050
TV AND RADIO,6048
Newspapers,6048
LOW AND LEGISLATION,6048
PRES,6044
ABSENTEEISM,6044
Cartoons and Cartoonists,6042
SPEEDS,6042
BLDGS AND EQUIPMENT,6032
GOVERNMENT,6032
FREIGHT FORWARDING (DOMESTIC AND FOREIGN),6022
"PAY, STANDARDS AND SUPPLY",6022
"INCOME, FARM",6010
SEPARATION OF POWERS DOCTRINE,6002
RACIAL SEGREGATION IN THE SOUTH - FBI ARRESTS 21 MEN IN CONNECTION WITH MURDER OF 3 CIVIL RIGHTS WORKERS IN MISSISSIPPI BUT CHARGES ARE DISMISSED AFTER PRELIMINARY HEARING - US SUPREME COURT UPHOLDS CONSTITUTIONALITY OF CIVIL RIGHTS ACT PUBLIC ACCOMMODATIONS SECTION,6002
MINOR PARTIES,5990
ADDRESSES,5990
LAW VIOLATIONS (GENERAL),5974
DENTISTS TRAINING AND SUPPLY,5970
1ST JL 16 PAR,5968
6TH N 2 PAR,5940
MCGOVERN ACTIVITIES AS DECLARED CANDIDATE,5926
"FOOD, DRUG AND COSMETIC REGULATION (US)",5922
"DRIVERS LICENSING, TRAINING AND TESTS",5910
OFFSHORE EXPLORATION,5896
"DIRKSEN, EVERETT MCKINLEY (SEN)",5890
Colds,5130
Trees and Shrubs,5128
Circuses,5124
NAZI POLICIES TOWARD JEWS AND FOREIGN NATIONALITIES,5120
WORLD'S FAIR OF 1970 (OSAKA) (EXPO '70),5120
EXCURSION AND SIGHTSEEING BOATS,5120
Dogs,5118
"OCCUPATION, AXIS (1943-45)",5118
SYNDICATIONS AND OTHER EQUITY SECURITIES,5118
RIOTS IN CHICAGO AND PHILADELPHIA - RIOTS IN OTHER NORTHERN CITIES,5118
Cholera,5114
FCC PROBE,5112
TRANSPLANTS (PHYSIOLOGICAL),5112
US RATES,5112
Cement,5112
RUMANIAN DELEGATION VISITS IN SHOW OF SOLIDARITY WITH CZECH - W GER REPTD WILLING TO CONSIDER RENUNCIATION OF '38 MUNICH PACT - USSR PRESS RESUMES ATTACKS ON CZECH LEADERSHIP AND REFORMS,5110
POLITICAL TURMOIL IN S VIETNAM,5110
WORLD JOURNAL TRIBUNE (NYC NEWSPAPER),5110
RELIGION ISSUE,5110
"RACIAL PROBLEMS AND SEGREGATION IN THE SOUTH - NEGROES RIOT IN ATLANTA - SNCC LEADER S CARMICHAEL INDICTED, NEGRO BOY SLAIN",5110
"GAS, ILLUMINATING AND NATURAL",5108
8TH O 23 PAR,5108
"RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES - CONVICTIONS RETURNED AGAINST WHITES IN 2 CASES INVOLVING CIVIL RIGHTS SLAYINGS, DEFENDANTS IN 3D CASE ACQUITTED",5106
LABOR-MGT RELATIONS,5106
"RACIAL PROBLEMS AND CIVIL RIGHTS ACTIVITIES IN THE NORTH, INCLUDING THE MIDWEST - NEGROES RIOT IN OMAHA AND CHICAGO",5104
MARSHALS,5102
PORTUGUESE DEPENDENCIES (GENERAL),5100
ARAB BOYCOTT OF ISRAEL,5100
SEA DEFENSE (DEFENSE AGAINST SEABORNE ATTACK),5100
Hunting and Trapping,5098
WESTCHESTER COUNTY ISSUE,5098
MAGNETISM AND MAGNETS,5098
FEDERAL VOTING RIGHTS LEGIS - CONG COMS BEGIN HEARINGS,5098
MINUTEMAN,5094
INTERNATIONAL MONETARY SYTEM,5094
RUBY TRIAL - RUBY GETS DEATH SENTENCE,5094
REVIEWS AND NOTES,5094
RACIAL INTEGRATION: PROGRAMS FOR SOCIALLY HANDICAPPED,5094
1ST JA 1 PAR,5094
PROFUMO CASE,5094
Printing and Allied Trades,5094
RELATIVITY (PHYSICS),5092
DE GAULLE VISIT,5090
ZOND 5,5090
'64 SESSION,5090
VACCINATION AND VACCINES,5090
"STAMPS, COVERS AND CACHETS",5090
SOCIAL SCIENCES,5090
STUDENTS ACTIVITIES AND CONDUCT,5090
BRITISH-FRENCH PROJECTS,5088
LINCOLN DAY DINNERS,5088
LIMBS,5088
CONGRESS (SENATE),5086
1ST APRIL 16 PAR,5086
'63 SESSION,5086
"RACIAL EQUALITY, CONGRESS OF (CORE)",5086
Eggs,5086
LEND-LEASE AGREEMENTS,5086
"US POLICY - CANADIAN AMB RONNING PEACE MISSION TO N VIETNAM - JOHNSON HOLDS OUT PROSPECT OF WAR ESCALATION IF N VIETNAM AND VIETCONG DO NOT ABANDON AGGRESSION - UN SEC GEN THANT SCORES WAR, MAKES PEACE PROPOSALS - REACTION OF SOME FOREIGN GOVERNMENTS AND US CONGRESSMEN TO US POLICY - PRESS DISCLOSURE OF US MILITARY ESCALATION PLANS - US ESCALATES WAR EFFORT WITH BOMBING OF FUEL TANKS ON OUTSKIRTS OF HANOI AND HAIPHONG",5086
NEW YORK NEWS,5086
"PROF LYND, T HAYDEN AND H APTHEKER TRIP TO N VIETNAM",5084
CLAIMS,5084
US SEN (JACKSON) SUBCOM PROBE OF US PLANNING,5084
JA 2 PAR,5084
SOYUZ 9,5082
Shooting (Sport),5082
WAR CRIMES AND CRIMINALS,5082
US MILITARY BUILD-UP - CHARGES OF US BOMB AND MATERIEL SHORTAGES,5082
CIVIL RIGHTS LEGIS (FEDERAL) - SEN GOLDWATER STAND - CIVIL RIGHTS AND 'WHITE BACKLASH' AS PRES ELECTION ISSUE,5080
US DOCTRINE OF 'NO SANCTUARY' FOR ENEMY PLANES - COMMUNIST CHINA CHARGES INTRUSION BY US PLANES INTO CHINA,5080
LABOR DAY (US),5080
Domestic Service,5080
CIVILIZATION,5078
4TH N 16 PAR,5078
US POLICY AND REACTION TO IT - AMB GOLDBERG URGES UN SEC GEN THANT TO SEEK CEASE-FIRE TALKS - CHINA-USSR FRICTION ON WAR STAND - BRIT SEC BROWN PEACE EFFORTS,5078
Lungs,5078
Savings and Loan Associations,5078
"SEA WATER, CONVERSION OF",5078
PRESIDENTIAL ELECTION OF 1948,5076
ORGANIZATIONS AND GROUPS,5076
NEW MODELS,5074
UNIONIZATION,5074
METHODIST CHURCHES,5074
RACIAL PROBLEMS AND SEGREGATION IN THE SOUTH - PRES JOHNSON TO REMAIN ALOOF IN ELECTION RACES WHERE DEMS EXPLOIT WHITE BACKLASH ISSUE,5074
GEN EAST-WEST CONFRONTATION - NATO EMERGES AS INSTRUMENT FOR DETENTE - MCNAMARA PLEADS FOR 'REALISTIC RELATIONSHIPS',5072
COURT MARTIAL,5072
CONSERVATISM ISSUE,5072
PACIFICATION PROGRAM IN S VIETNAMESE VILLAGES,5070
ECONOMIC CONDITIONS AND DEVELOPMENT,5070
1ST JULY 16 PAR,5068
CIVIL RIGHTS MOVEMENT (GENERAL) - NEGRO DEMONSTRATIONS AND VIOLENCE (GENERAL),5068
INTERSCHOLASTIC,5066
"PORTRAITS, ILLUSTRATIONS AND SCULPTURE",5066
GEN EAST-WEST CONFRONTATION - DE GAULLE CALLS FOR END TO POWER BLOCS,5066
FED VOTING RIGHTS LEGIS - VOTING RIGHTS ACT BECOMES LAW - ENFORCEMENT BEGINS,5066
"FOREIGN SECURITIES, TAX ON AMERICAN PURCHASES OF",5066
ECON,5066
DOWNTOWN REDEVELOPMENT,5062
AREA STUDIES,5060
FOOD-FOR-PEACE PLANS,5060
COMS AND BDS,5058
DIVIDENDS,5058
SPANISH-SPEAKING GROUPS,5058
RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES,5058
SECURITY,5054
ACCESSION TO PRESIDENCY,5054
CONTROLLERS,5054
CONSERVATISM RISE - COMMUNISM ISSUE,5054
PAROCHIAL SCHOOLS AND CHURCH-RELATED SCHOOLS,5054
NORTH VIETNAM INTERNAL AFFAIRS,5052
PROFESSIONS,5052
MODEL CITIES PROGRAM (US),5052
"FOREIGN DIPLOMATIC COMMUNITY, RELATIONS WITH",5052
MARRIAGE AND FAMILY,5050
SALES (GEN),5050
ROMNEY ACTIVITIES AS DECLARED CANDIDATE,5050
PROSTHESIS,5048
CIVIL RIGHTS LEGIS (FEDERAL) - CIVIL RIGHTS AND 'WHITE BACKLASH' AS PRES ELECTION ISSUES - DEM PLATFORM PLANK ON CIVIL RIGHTS,5044
COMMUNISM ISSUE - THREATS TO DEMOCRACY - CONSERVATISM RISE,5044
Sales Tax,5042
SENATE (FULBRIGHT) COMMITTEE HEARINGS ON RESPONSIBILITIES AS GREAT POWER,5040
BRITISH-US,5040
"BLACK POWER, NATIONAL CONFERENCE ON",5036
Butter,5036
Wool and Woolen Goods,5034
OIL IMPORT QUOTAS,5032
CIVIL COURT,5032
MINORITIES AND OPPRESSED GROUNDS,5030
TENNESSEE VALLEY AUTHORITY AND PROJECT (TVA),5026
HUMAN RESOURCES ADM (PROPOSED),5024
2D MR 16 PAR,5022
ANNIVERSARY,5022
"ADDRESSES, EXECUTIVE ORDERS, LETTERS, MESSAGES TO COUNCIL, STATEMENTS",5022
VATICAN APPOINTMENTS AND HONORS,5022
LEGAL AID FOR INDIGENT DEFENDANTS,5020
4TH O 1 PAR,5016
SEN GOLDWATER ANNOUNCES CANDIDACY - ACTIVITIES,5014
S 29 PAR,5004
REPTS,5004
Peanuts,5004
"ACTIVITIES OF SEN HUMPHREY, DEM VICE-PRES NOMINEE",5002
JOHNSON'S ACTIVITIES,4994
DIST 19,4990
METROPOLITAN AREAS,4988
1ST O 2 PAR,4972
MILLER ACTIVITIES,4970
BIG GOVT ISSUE - STATES-RIGHTS ISSUE - FED-LOCAL GOVT RELATIONS,4932
TEACHING AIDS,4932
UNION SECURITY,4902
VICE PRESIDENT,4850
NYS,4098
PSYCHOLOGY AND TRAINING,4098
Measles,4098
Unidentified Flying Objects (UFO),4098
Electric Light Bulbs,4098
Potatoes,4096
Whales and Whaling,4096
Multiple Births,4096
Bullfighting,4094
Witchcraft,4094
Watches and Clocks,4094
"RACIAL SEGREGATION IN THE SOUTH - DEMONSTRATIONS, VOTER REGIS DRIVES AND OTHER CIVIL RIGHTS ACTIVITIES - MISTRIAL DECLARED IN TRIAL FOR MURDER OF WHITE WOMAN CIVIL RIGHTS WORKER, ALABAMA",4094
Lifeguards,4092
Diabetes,4092
TRANQUILIZING DRUGS,4092
Bridge (Card Game),4092
PSYCHIC PHENOMENA,4092
"ATMOSPHERE, UPPER",4092
FLUORIDATION,4092
S VIETNAMESE POLITICS AND ECONOMY - THREAT OF COUP,4090
Missing Persons,4090
GUIDEBOOKS,4090
TRAVELERS CHECKS,4090
"RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES THERE, INCLUDING VOTER REGIS DRIVE IN ALABAMA - INDICTMENTS RETURNED IN SLAYINGS OF WHITE WOMAN CIVIL RIGHTS WORKER AND WHITE MINISTER, ALABAMA",4090
"RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES, INCLUDING NEGRO REGIS UNDER '65 VOTING RIGHTS ACT - SUSPECT IN SLAYING OF WHITE SEMINARIAN ACQUITTED",4088
ELEMENTS,4088
ARAB RESIDENTS,4088
VENUS,4088
Buddhism,4088
"Tennis, Table",4088
PEDESTRIANS,4088
MITCHELL-LAMA PROTECTS,4088
"RESEARCH, TECHNICAL DEVELOPMENTS AND THEORY",4086
DRUG FATALITIES,4086
LAUNDRIES AND LAUNDERING,4086
LEND‐LEASE AGREEMENTS,4084
"RACIAL PROBLEMS AND CIVIL RIGHTS ACTIVITIES IN THE NORTH, INCLUDING THE MIDWEST - OUTBREAKS OF NEGRO VIOLENCE CONTINUE - GRAND JURY BLAMES PROFESSIONAL ORGANIZERS FOR DISORDERS IN CLEVELAND",4084
SOYUZ 3,4084
HEAVYWEIGHT,4084
Comic Books and Strips,4084
RANGER III (US LUNAR PROBE LAUNCHED JAN 26 '62),4084
Dictionaries,4082
US IMPORTS,4082
US EFFORTS TO BLOCKADE TRADE WITH N VIETNAM,4082
VAGRANCY AND VAGRANTS,4080
WIGHTMAN CUP,4080
MANNERS AND CUSTOMS,4080
GENERAL GROUPS,4080
Frauds and Swindling,4080
Barbers and Barbering,4080
TIDELANDS,4080
THERAPY FOR AND REHABILITATION OF ADDICTS,4080
RACIAL SEGREGATION,4078
MARINE CORPS,4078
POPULATION TRENDS,4078
CAMBODIAN INVOLVEMENT,4078
SOYUZ 10,4078
MISCELLANEOUS ITEMS,4078
Exercise,4078
COMERCIAL,4078
"RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES - SLAYING OF NEGRO COLL STUDENT SPARKS STUDENT PROTESTS, TUSKEGEE, ALA - NEGROES PROTEST VOTER REGIS PRACTICES, BIRMINGHAM",4078
Fraternities and Sororities,4076
USSR POLICY AND ACTION,4076
PASSENGERS (GEN),4074
OTHER US REACTION TO WAR AND US POLICY,4074
NEW YORK PUBLIC LIBRARY,4074
'65 SESSION,4074
POLITICS AND GOVERNMENT (GENERAL),4074
PACIFIC TRUST AREAS,4074
HUNDRED NEEDIEST CASES (A FUND COLLECTED ANNUALLY BY THE NY TIMES FOR 7 BENEVOLENT ORGNS),4074
"OCCUPATION, AXIS (WORLD WAR II)",4074
ORCHESTRAS AND OTHER MUSIC GROUPS,4074
5TH N 16 PAR,4074
"ADMINISTRATION (COUNCIL, SECRETARY GENERAL, COMITTEES)",4074
RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES - THOUSANDS OF NEGROES VOTE IN ALA ELECTION IN 1ST MAJOR USE OF '65 VOTING RIGHTS ACT,4072
"RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITY, INCLUDING NEGRO REGIS UNDER '65 VOTING RIGHTS ACT - WHITE EPISC SEMINARIAN SLAIN, WHITE RC PRIEST WOUNDED",4072
TRANSIT POLICE,4072
"AUTHORITIES, PUBLIC",4072
US ECONOMIC AID TO S VIETNAM,4072
COMPETITION,4070
NEWSDAY (LI NEWSPAPER),4070
DROWNING,4070
TV AND RADIO COVERAGE,4070
NATL RESERVE PLAN,4070
STANDARD OF LIVING,4070
RECREATION AND SPORTS,4070
WESTERN HEMISPHERE,4070
MISCELLANEOUS MATERIAL ON US TROOPS - PRES JOHNSON MAKES BRIEF VISIT TO TROOPS WHILE ON FAR EASTERN TOUR,4070
2D JAN 16 PAR,4068
NEW YORK SUBURBAN COMMUNITIES,4068
Rockets and Rocket Propulsion,4068
WELFARE,4068
CIVIL RIGHTS MOVEMENT (GENERAL),4066
NONALIGNED NATIONS,4066
POST EXCHANGES,4066
LUNA 16,4066
Asian Games,4066
Entertainment and Amusements,4066
"INSIDERS' INFORMATION, ISSUE OF",4066
FOREIGN POPULATION,4066
JOHNSON-WILSON CONFERENCES,4064
CUSTODIAL STAFF,4064
Lighting,4064
POLARIS,4064
MERCY MISSIONS,4064
DE GAULLE VISIT TO USSR,4064
INS AND LIABILITY,4064
NONCOMMERCIAL TELEVISION AND RADIO,4064
AID TO S VIETNAM,4062
REORGANIZATION AND CHARTER REVISION,4062
"MILITARY BUILDUP, AID, LONG‐RANGE PLANNING",4062
IRAQI CLAIMS TO KUWAIT AND OTHER PERSIAN GULF SHEIKDOMS,4062
NEW CIVIL RIGHTS LEGIS - PROPOSED CIVIL RIGHTS ACT OF '66 DEFEATED - MAY BE INTRODUCED AGAIN IN '67,4060
Jazz,4060
ORGANIZED RESERVE,4060
FLAGS,4060
NY COUNTY DISTS,4060
US MILITARY BUILD-UP - WAR COSTS,4060
1ST AUG 1 PAR,4060
EQUIPMENT AND SUPPLIES,4060
CHROMIUM,4060
COMMUNISM ISSUE - THREATS TO DEMOCRACY,4060
UNITED STATES SECURITY PACT,4058
ASSASSINATION PLOT,4058
TOURS,4058
TRAINING,4058
Houseboats,4056
SALES (GENERAL),4056
DRAFT BOARDS PERSONNEL,4056
GRAVE,4054
CRUELTY TO AND NEGLECT OF,4054
INTERNATIONAL,4054
RRS,4054
NOV 2 PAR,4054
NIKE-X,4054
VATICAN-USSR RELATIONS,4054
"ARMAMENT, DEFENSE AND MILITARY FORCES (GENERAL)",4054
NEW YORK TIMES SERIES ON WAR IMPACT IN US,4052
MISLEADING AND DECEPTIVE ADVERTISING,4052
Plastics,4052
US FINANCING OF WAR COSTS,4052
PRESIDENTIAL ELECTION OF 1952,4052
MITCHELL-LAMA LAW,4052
MOL (MANNED ORBITING LABORATORY PROJECT),4050
TRAFFIC (VEHICULAR AND PEDESTRIAN) PARKING,4050
MORNINGSIDE GENERAL NEIGHBORHOOD RENEWAL PLAN,4048
DEFENSE HOUSING,4048
TV-RADIO COVERAGE,4046
1ST D 6 PAR,4046
N 2 PAR,4046
PORTRAITS AND SCULPTURE,4046
US FED PROGRAMS,4046
GUAM CONFERENCE,4044
FEBRUARY 1-15,4044
AMERICANS' ACCOUNTS ABROAD,4044
DOCUMENTARY SHOWS,4044
ILLEGAL ACTIVITIES,4044
BLDG REPTS,4044
ABANDONED,4042
US VICE PRES HUMPHREY DISCUSSES WAR AND AID TO US IN FAR EAST TOUR,4042
DIST,4042
2D JULY 1 PAR,4042
CIVIL RIGHTS MOVEMENT AND PROBLEMS (GEN) - 'BLACK POWER' CONCEPT REMAINS DOMINANT ISSUE AMONG CIVIL RIGHTS LEADERS,4040
RELATIONS WITH EXECUTIVE BRANCH,4040
LABOR ROLE,4040
Pigs,4040
CONVS,4038
CONTEMPT ACTIONS,4038
CIVIL RIGHTS LEGIS (FEDERAL) - 'WHITE BACKLASH' FAILS TO MATERIALIZE SIGNIFICANTLY AS PRES JOHNSON WINS LANDSLIDE VICTORY,4036
US FINANCING OF WAR COSTS AND FAILURE TO LINK AMENDMENTS ON PRESIDENTIAL POWERS TO FUNDS LEGISLATION - US ECONOMIC AID FOR S VIETNAM,4034
FINANCES (GENERAL),4032
SALARIES AND EXPENSE ALLOWANCES,4032
ESTES CASE,4032
"US ARMAMENT, DEFENSE AND MIL FORCES",4030
BIG POWERS POLICIES,4028
2D O 24 PAR,4026
WALLACE ACTIVITIES,4026
RESIGNATIONS,4026
CIVIL RIGHTS MOVEMENT AND PROBLEMS (GEN) - 'WHITE BACKLASH' PROVES IMPORTANT FACTOR IN OUTCOME OF MANY ELECTIONS,4026
AIR-CUSHION VEHICLES,4022
JOURNALISTS TOURS,4022
"TWO-PARTY SYSTEM, THIRD-PARTY MOVEMENTS, PARTIES REALIGNMENT",4020
COMMERCIAL USERS,4020
EXERCISE OF RIGHT OF PETITION FOR REDRESS OF GRIEVANCES,4016
Conventions and Conferences,4016
FEBRUARY 16-29,4012
CIVIL RIGHTS MOVEMENT AND PROBLEMS (GEN) - 7 NEGRO CIVIL RIGHTS LEADERS REJECT 'BLACK POWER' CONCEPT,4008
2D AG 16 PAR,4008
2D O 19 PAR,4008
CASUALTY INSURANCE,4004
"GOVERNOR'S CONFERENCE, NATIONAL",4004
N 9 PAR,4004
INVESTMENTS,4002
"RACIAL PROBLEMS AND CIVIL RIGHTS ACTIVITIES IN THE NORTH, INCLUDING THE MIDWEST AND WEST - NY TIMES SURVEY FINDS 'WHITE BACKLASH' IS MAJOR FACTOR IN NOV ELECTIONS",4000
CHARTER,3998
ASTRONAUTS' GOODWILL TOURS,3998
INSTS,3998
